moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
캡틴 아메리카: 시빌 워,2016.4.27,72672111827.0,"8,677,249","1,991","161,696",미국,월트디즈니컴퍼니코리아(주),안소니 루소,액션,"크리스 에반스(스티브 로저스 / 캡틴 아메리카), 로버트 다우니 주니어(토니 스타크 / 아이언맨), 스칼릿 조핸슨(나타샤 로마노프/ 블랙위도우)",[국내] 12세 관람가 [해외] PG-13
아이언맨 3,2013.4.25,70806364000.0,"9,001,331","1,389","163,584",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),셰인 블랙,SF,"로버트 다우니 주니어(토니 스타크/아이언맨), 기네스 팰트로(페퍼 포츠), 벤 킹슬리(만다린)",[국내] 12세 관람가
국제시장,2014.12.17,69841376134.0,"8,915,904","1,044","149,061",한국,(주)씨제이이엔엠,윤제균,드라마,"황정민(덕수), 김윤진(영자), 오달수(달구)",[국내] 12세 관람가
스파이더맨: 파 프롬 홈,2019.7.2,69010000100.0,"8,021,145","2,142","180,474",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,존 왓츠,액션,"톰 홀랜드(피터 파커 / 스파이더맨 ), 사무엘 L. 잭슨(닉 퓨리), 젠데이아 콜먼(미쉘 존스)",[국내] 12세 관람가 [해외] PG-13
설국열차,2013.8.1,67010087500.0,"9,349,993","1,128","124,823","한국,체코",(주)씨제이이엔엠,봉준호,SF,"크리스 에반스(커티스), 송강호(남궁민수), 에드 해리스(윌포드)",[국내] 15세 관람가
해적: 바다로 간 산적,2014.8.6,66370682706.0,"8,666,046",910,"133,350",한국,롯데쇼핑㈜롯데엔터테인먼트,이석훈,모험,"김남길(장사정), 손예진(여월)",[국내] 12세 관람가
관상,2013.9.11,66005427500.0,"9,134,581","1,240","125,073",한국,(주)쇼박스,한재림,드라마,"송강호(내경), 이정재(수양대군), 백윤식(김종서)",[국내] 15세 관람가
공조,2017.1.18,63783051326.0,"7,817,618","1,392","142,989",한국,(주)씨제이이엔엠,김성훈,액션,"현빈(임철령), 유해진(강진태), 김주혁(차기성)",[국내] 15세 관람가
수상한 그녀,2014.1.22,62705348249.0,"8,657,982","1,027","136,975",한국,(주)씨제이이엔엠,황동혁,코미디,"심은경(오두리), 나문희(오말순), 박인환(박씨)",[국내] 15세 관람가
밀정,2016.9.7,61269783831.0,"7,500,420","1,444","138,161","한국,미국",워너브러더스 코리아(주),김지운,액션,"송강호(이정출), 공유(김우진)",[국내] 15세 관람가
어벤져스,2012.4.26,59557853478.0,"7,074,867",967,"109,697",미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",안소니 루소,액션,"로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 에반스(스티브 로저스 / 캡틴 아메리카), 크리스 헴스워스(토르)",[국내] 12세 관람가
스파이더맨: 홈 커밍,2017.7.5,59125813820.0,"7,258,678","1,965","164,448",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,존 왓츠,액션,"톰 홀랜드(피터 파커/스파이더맨), 마이클 키튼(아드리안 툼즈/벌처)",[국내] 12세 관람가 [해외] PG-13
터널,2016.8.10,57529484417.0,"7,120,508","1,105","113,201",한국,(주)쇼박스,최진혁,한국,,
내부자들,2015.11.19,56465665657.0,"7,055,332","1,129","152,265",한국,(주)쇼박스,우민호,범죄,"이병헌(안상구), 조승우(우장훈), 백윤식(이강희)",[국내] 청소년 관람불가
럭키,2016.10.13,56444461256.0,"6,975,290","1,234","155,977",한국,(주)쇼박스,이계벽,코미디,"유해진(형욱), 이준(재성), 조윤희(리나)",[국내] 15세 관람가
범죄도시,2017.10.3,56318014149.0,"6,879,841","1,315","149,334",한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",이상용,범죄,"마동석(마석도), 손석구(강해상), 최귀화(전일만)",
미션 임파서블: 폴아웃,2018.7.25,55888375112.0,"6,584,915","1,957","101,374",미국,롯데컬처웍스(주)롯데엔터테인먼트,크리스토퍼 맥쿼리,액션,"톰 크루즈(에단 헌트), 헨리 카빌(어거스트 워커), 사이먼 페그(벤지 던)",[국내] 15세 관람가
곡성,2016.5.12,55863520382.0,"6,879,908","1,485","130,322","한국,미국",이십세기폭스코리아(주),나홍진,미스터리,"곽도원(종구), 황정민(일광), 쿠니무라 준(외지인)",[국내] 15세 관람가
최종병기 활,2011.8.10,55827861500.0,"7,470,633",615,"130,054",한국,롯데쇼핑㈜롯데엔터테인먼트,김한민,액션,"박해일(남이), 류승룡(쥬신타), 김무열(서군)",[국내] 15세 관람가
인천상륙작전,2016.7.27,55101410303.0,"7,049,643","1,049","97,019",한국,(주)씨제이이엔엠,이재한,전쟁,"이정재(장학수), 이범수(림계진), 리암 니슨(맥아더 장군)",[국내] 15세 관람가
써니,2011.5.4,54035565100.0,"7,362,657",546,"149,135",한국,(주)씨제이이엔엠,오오네 히토시,드라마,"시노하라 료코, 히로세 스즈, 미우라 하루마",[국내] 15세 관람가
베를린,2013.1.30,52355568637.0,"7,166,290",894,"111,744","한국,독일",(주)씨제이이엔엠,그레고어 얼러,드라마,"마티아스 지에싱, 페가 페리도니, 모리츠 하이델바흐",[국내] 12세 관람가
캡틴 마블,2019.3.6,51507488723.0,"5,802,810","2,100","186,382",미국,월트디즈니컴퍼니코리아 유한책임회사,애너 보든,액션,"브리 라슨(캐럴 댄버스 / 비어스 / 캡틴 마블), 사무엘 L. 잭슨(닉 퓨리), 벤 멘델슨(탈로스 / 켈러)",[국내] 12세 관람가
군함도,2017.7.26,50510565168.0,"6,592,151","2,027","108,775",한국,(주)씨제이이엔엠,류승완,액션,"황정민(이강옥), 소지섭(최칠성), 송중기(박무영)",[국내] 15세 관람가
킹스맨 : 시크릿 에이전트,2015.2.11,50369009795.0,"6,129,681",728,"139,988","미국,영국",이십세기폭스코리아(주),매튜 본,액션,"콜린 퍼스(해리), 태런 에저튼(에그시), 사무엘 L. 잭슨(발렌타인)",[국내] 청소년 관람불가
쥬라기 월드: 폴른 킹덤,2018.6.6,49770711037.0,"5,661,128","1,972","144,779",미국,유니버설픽쳐스인터내셔널 코리아(유),후안 안토니오 바요나,액션,"크리스 프랫(오웬 그래디), 브라이스 달라스 하워드(클레어 디어링)",[국내] 12세 관람가
사도,2015.9.16,48842902501.0,"6,246,849","1,210","124,246",한국,(주)쇼박스,최우성,멜로/로맨스,[국내] 청소년 관람불가,
은밀하게 위대하게,2013.6.5,48700887413.0,"6,959,083","1,341","117,461",한국,(주)쇼박스,장철수,액션,"김수현(원류환), 박기웅(리해랑), 이현우(리해진)",[국내] 15세 관람가
미션 임파서블: 로그네이션,2015.7.30,48547353607.0,"6,126,488","1,202","89,682",미국,롯데쇼핑㈜롯데엔터테인먼트,크리스토퍼 맥쿼리,액션,"톰 크루즈(에단 헌트), 제레미 레너(윌리엄 브랜트), 사이먼 페그(벤지 던)",[국내] 15세 관람가 [해외] PG-13
쥬라기 월드,2015.6.11,47800698826.0,"5,546,792","1,290","118,959",미국,유니버설픽쳐스인터내셔널 코리아(유),콜린 트레보로우,액션,"크리스 프랫(오웬 그레디), 브라이스 달라스 하워드(클레어 디어링)",
다크 나이트 라이즈,2012.7.19,47644838000.0,"6,396,528","1,210","81,254","미국,영국",워너브러더스 코리아(주),크리스토퍼 놀란,액션,"크리스찬 베일(브루스 웨인 / 배트맨), 마이클 케인(알프레드), 게리 올드만(짐 고든)",[국내] 15세 관람가 [해외] PG-13
닥터 스트레인지,2016.10.26,47481830396.0,"5,446,239","1,503","162,856",미국,월트디즈니컴퍼니코리아(주),샘 레이미,액션,"베네딕트 컴버배치(닥터 스트레인지), 엘리자베스 올슨(완다 막시모프 / 스칼렛 위치)",
앤트맨과 와스프,2018.7.4,47468053685.0,"5,448,134","1,775","148,244",미국,월트디즈니컴퍼니코리아 유한책임회사,페이튼 리드,액션,"폴 러드(스캇 랭 / 앤트맨), 에반젤린 릴리(호프 반 다인 / 와스프), 마이클 더글라스(행크 핌 박사)",[국내] 12세 관람가
신과함께-죄와 벌,2017.12.20,47355583705.0,"5,872,007","1,644","121,961",한국,롯데쇼핑㈜롯데엔터테인먼트,김용화,판타지,"하정우(강림), 차태현(자홍), 주지훈(해원맥)",[국내] 12세 관람가
아저씨,2010.8.4,47101332000.0,"6,178,248",501,"109,853",한국,CJ ENM,이정범,액션,"원빈(차태식), 김새론(소미)",[국내] 청소년 관람불가
늑대소년,2012.10.31,46590107000.0,"6,654,390",854,"109,069",한국,(주)씨제이이엔엠,조성희,멜로/로맨스,"송중기(늑대소년), 박보영(순이)",[국내] 15세 관람가
안시성,2018.9.19,46335334026.0,"5,440,186","1,540","110,439",한국,(주)넥스트엔터테인먼트월드(NEW),김광식,액션,"조인성(양만춘), 남주혁(사물), 박성웅(이세민)",[국내] 12세 관람가
블랙 팬서,2018.2.14,45885123957.0,"5,399,227","1,620","119,170",미국,월트디즈니컴퍼니코리아 유한책임회사,라이언 쿠글러,액션,채드윅 보스만(티찰라 / 블랙 팬서),[국내] 12세 관람가 [해외] PG-13
연평해전,2015.6.24,45563228330.0,"6,043,784","1,013","114,450",한국,(주)넥스트엔터테인먼트월드(NEW),김학순,드라마,"김무열(윤영하), 진구(한상국), 이현우(박동혁)",[국내] 12세 관람가
조커,2019.10.2,45381075450.0,"5,247,874","1,418","147,380",미국,워너브러더스 코리아(주),토드 필립스,스릴러,호아킨 피닉스(아서 플렉 / 조커),[국내] 15세 관람가
덕혜옹주,2016.8.3,44393828109.0,"5,599,229",964,"97,312",한국,롯데쇼핑㈜롯데엔터테인먼트,허진호,서사,"손예진(덕혜옹주), 박해일(김장한)",[국내] 12세 관람가
청년경찰,2017.8.9,44381150516.0,"5,653,270","1,102","118,544",한국,롯데쇼핑㈜롯데엔터테인먼트,김주환,액션,"박서준(기준), 강하늘(희열)",[국내] 15세 관람가
완벽한 타인,2018.10.31,44350807074.0,"5,293,435","1,325","143,055",한국,롯데컬처웍스(주)롯데엔터테인먼트,이재규,드라마,"유해진(태수), 조진웅(석호), 이서진(준모)",[국내] 15세 관람가
쿵푸팬더 2,2011.5.26,44298708500.0,"5,062,720",948,"101,338",미국,(주)씨제이이엔엠,여인영,애니메이션,"잭 블랙(팬더곰, 포 목소리), 더스틴 호프만(렛서팬더/사부, 시푸 목소리), 성룡(원숭이, 몽키 목소리)",[국내] 전체 관람가 [해외] PG
트랜스포머: 사라진 시대,2014.6.25,44012752845.0,"5,295,836","1,602","107,875",미국,(주)씨제이이엔엠,마이클 베이,SF,"마크 월버그(케이드 예거), 니콜라 펠츠(테사 예거), 잭 레이너(셰인)",[국내] 12세 관람가
더 킹,2017.1.18,43488814535.0,"5,317,693","1,310","107,983",한국,(주)넥스트엔터테인먼트월드(NEW),미하 로사,전쟁,"보리스 스직(유제프 피우수트스키), 막달레나 복자스카(마리아 피우수트스키)",[국내] 15세 관람가
독전,2018.5.22,43485551113.0,"5,063,684","1,532","140,007",한국,(주)넥스트엔터테인먼트월드(NEW),이해영,범죄,"조진웅(원호), 류준열(락), 김주혁(진하림)",[국내] 15세 관람가
1987,2017.12.27,42915772108.0,"5,290,310","1,122","110,607",한국,(주)씨제이이엔엠,장준환,드라마,"김윤석(박처장), 하정우(공안부장), 유해진(한병용)",[국내] 15세 관람가
공작,2018.8.8,42788851176.0,"4,974,520","1,317","99,001",한국,(주)씨제이이엔엠,장이머우,범죄,"장한위, 위허웨이, 주아문",[국내] 15세 관람가
검은 사제들,2015.11.5,42405282092.0,"5,442,128","1,109","131,155",한국,(주)씨제이이엔엠,돈 E. 폰트르로이,공포,"토빈 벨, 랜디 셸리",[국내] 15세 관람가
변호인,2013.12.18,41918383800.0,"5,687,571",925,"97,261",한국,(주)넥스트엔터테인먼트월드(NEW),양우석,드라마,"송강호(송우석), 김영애(최순애), 오달수(박동호)",[국내] 15세 관람가
라이온 킹,2019.7.17,41519457430.0,"4,743,264","1,936","126,496",미국,월트디즈니컴퍼니코리아 유한책임회사,존 파브로,모험,"도날드 글로버(심바 목소리), 비욘세(날라 목소리), 제임스 얼 존스(무파사 목소리)",[국내] 전체 관람가 [해외] PG
남산의 부장들,2020.1.22,41225216650.0,"4,750,345","1,659","140,051",한국,(주)쇼박스,우민호,드라마,"이병헌(김규평), 이성민(박통), 곽도원(박용각)",[국내] 15세 관람가
어메이징 스파이더맨,2012.6.28,41163951235.0,"4,853,123","1,118","92,755",미국,한국소니픽쳐스릴리징브에나비스타영화㈜,마크 웹,액션,"앤드류 가필드(피터 파커/스파이더맨), 엠마 스톤(그웬 스테이시)",[국내] 12세 관람가
킹스맨: 골든 서클,2017.9.27,40987484736.0,"4,945,484","1,687","95,922","미국,영국",이십세기폭스코리아(주),매튜 본,액션,"콜린 퍼스(해리 하트), 줄리안 무어(포피), 태런 에저튼(에그시)",[국내] 청소년 관람불가
봉오동 전투,2019.8.7,40588648538.0,"4,787,538","1,476","107,030",한국,(주)쇼박스,원신연,액션,"유해진(황해철), 류준열(이장하), 조우진(마병구)",[국내] 15세 관람가
의형제,2010.2.4,40153729000.0,"5,416,812",569,"118,243",한국,(주)쇼박스,장훈,액션,"송강호(이한규), 강동원(송지원)",[국내] 15세 관람가
더 테러 라이브,2013.7.31,39869706381.0,"5,584,139",809,"93,488",한국,롯데쇼핑㈜롯데엔터테인먼트,카일 랜킨,액션,"라다 미첼, 토마스 제인",
마스터,2016.12.21,39784641065.0,"4,935,320","1,501","70,786",한국,(주)씨제이이엔엠,자레드 헤스,코미디,"자흐 갈리피아나키스(데이비드), 오웬 윌슨(스티브), 크리스틴 위그(켈리)",[국내] 15세 관람가 [해외] PG-13
마션,2015.10.8,39663145295.0,"4,880,800","1,132","114,183",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",해스래프 둘룰,SF,케이티 색코프,[국내] 12세 관람가
숨바꼭질,2013.8.14,39602977500.0,"5,604,103",779,"88,062",한국,(주)넥스트엔터테인먼트월드(NEW),브릿 네이피어,스릴러,"엘리자베스 롬(레이첼/낸시), 케일리 디퍼(미셸), 크리스티안 캠벨(래리)",[국내] 청소년 관람불가
나쁜 녀석들: 더 무비,2019.9.11,39560195124.0,"4,573,902","1,511","113,938",한국,(주)씨제이이엔엠,손용호,범죄,"마동석(박웅철), 김상중(오구탁), 김아중(곽노순)",[국내] 15세 관람가
히말라야,2015.12.16,39469775448.0,"5,129,409","1,095","81,042",한국,(주)씨제이이엔엠,이석훈,드라마,"황정민(엄홍길), 정우(박무택)",[국내] 12세 관람가
감시자들,2013.7.3,39380162179.0,"5,508,017",949,"100,309",한국,(주)넥스트엔터테인먼트월드(NEW),조의석,범죄,"설경구(황반장), 정우성(제임스), 한효주(하윤주)",[국내] 15세 관람가
신비한 동물사전,2016.11.16,39300515858.0,"4,662,534","1,431","115,676","미국,영국",워너브러더스 코리아(주),데이빗 예이츠,판타지,"에디 레드메인(뉴트 스캐맨더), 콜린 파렐(퍼시발 그레이브스), 캐서린 워터스턴(티나 골드스틴)",[국내] 12세 관람가 [해외] PG-13
토르: 라그나로크,2017.10.25,39227691395.0,"4,853,778","1,640","137,423",미국,월트디즈니컴퍼니코리아 유한책임회사,타이카 와이티티,액션,"크리스 헴스워스(토르), 마크 러팔로(헐크), 톰 히들스턴(로키)",[국내] 12세 관람가
엣지 오브 투모로우,2014.6.4,38732961201.0,"4,699,307",801,"94,559",미국,워너브러더스 코리아(주),더그 라이만,액션,"톰 크루즈(빌 케이지), 에밀리 블런트(리타 브라타스키), 빌 팩스톤(파렐 상사)",[국내] 12세 관람가
다만 악에서 구하소서,2020.8.5,38602260990.0,"4,357,803","1,998","193,842",한국,(주)씨제이이엔엠,홍원찬,범죄,"황정민(인남), 이정재(레이), 박정민(유이)",[국내] 15세 관람가
월드 워 Z,2013.6.20,38555356000.0,"5,237,525",964,"100,823",미국,롯데쇼핑㈜롯데엔터테인먼트,마크 포스터,드라마,"브래드 피트(제리 레인), 미레유 에노스(카린 레인)",[국내] 15세 관람가 [해외] PG-13
완득이,2011.10.20,38526161500.0,"5,309,928",629,"117,763",한국,(주)씨제이이엔엠,이한,드라마,"김윤석(동주), 유아인(완득)",[국내] 12세 관람가
인사이드 아웃,2015.7.9,38024694936.0,"4,969,735",931,"84,000",미국,월트디즈니컴퍼니코리아(주),피트 닥터,애니메이션,"에이미 포엘러(조이/기쁨 목소리), 필리스 스미스(슬픔/새드니스 목소리), 민디 캘링(까칠/디스거스트 목소리)",[국내] 전체 관람가 [해외] PG
주토피아,2016.2.17,37096057742.0,"4,706,158",735,"131,005",미국,월트디즈니컴퍼니코리아(주),바이론 하워드,애니메이션,"지니퍼 굿윈(주디 홉스 목소리), 제이슨 베이트먼(닉 와일드 목소리), 샤키라(가젤 목소리)",[국내] 전체 관람가 [해외] PG
군도: 민란의 시대,2014.7.23,36988022499.0,"4,774,931","1,394","67,237",한국,(주)쇼박스,윤종빈,액션,"하정우(도치), 강동원(조윤)",[국내] 15세 관람가
범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,36538823500.0,"4,719,872",713,"91,889",한국,(주)쇼박스,윤종빈,범죄,"최민식(최익현), 하정우(최형배)",[국내] 청소년 관람불가
조선명탐정 : 각시투구꽃의 비밀,2011.1.27,35841769500.0,"4,786,259",634,"84,189",한국,(주)쇼박스,김석윤,코미디,"김명민(명탐정), 오달수(개장수), 한지민(한객주)",[국내] 12세 관람가
도가니,2011.9.22,35566854800.0,"4,662,822",756,"88,337",한국,(주)씨제이이엔엠,황동혁,드라마,"공유(강인호), 정유미(서유진)",[국내] 청소년 관람불가
아가씨,2016.6.1,35211229991.0,"4,287,839","1,171","90,365",한국,(주)씨제이이엔엠,박찬욱,스릴러,"김민희(히데코), 김태리(숙희), 하정우(백작)",[국내] 청소년 관람불가
신세계,2013.2.21,34881330905.0,"4,682,492",671,"90,580",한국,(주)넥스트엔터테인먼트월드(NEW),박훈정,범죄,"이정재(이자성), 최민식(강과장), 황정민(정청)",[국내] 청소년 관람불가
어메이징 스파이더맨 2,2014.4.23,34869101800.0,"4,168,353","1,312","91,715",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),마크 웹,액션,"앤드류 가필드(피터 파커/스파이더맨), 엠마 스톤(그웬 스테이시)",[국내] 12세 관람가
엑스맨: 데이즈 오브 퓨처 패스트,2014.5.22,34654558766.0,"4,313,871","1,056","82,722",미국,이십세기폭스코리아(주),브라이언 싱어,SF,"휴 잭맨(로건 / 울버린), 제임스 맥어보이(찰스 자비에), 마이클 패스벤더(에릭 랜셔)",[국내] 12세 관람가
바람과 함께 사라지다,2012.8.8,34614661161.0,"4,909,937",694,"78,591",한국,(주)넥스트엔터테인먼트월드(NEW),김주호,코미디,"차태현(이덕무), 오지호(백동수), 민효린(백수련)",[국내] 12세 관람가
해리포터와 죽음의 성물2,2011.7.13,34507600000.0,"4,400,270",757,"70,380",미국,워너브러더스 코리아(주),데이빗 예이츠,모험,"다니엘 래드클리프(해리 포터), 엠마 왓슨(헤르미온느), 루퍼트 그린트(론 위즐리)",[국내] 전체 관람가 [해외] PG-13
내 아내의 모든 것,2012.5.17,34223620500.0,"4,598,821",563,"91,773",한국,(주)넥스트엔터테인먼트월드(NEW),민규동,멜로/로맨스,"임수정(연정인), 이선균(이두현), 류승룡(장성기)",[국내] 15세 관람가
데드풀 2,2018.5.16,34185664639.0,"3,784,602","1,576","113,288",미국,이십세기폭스코리아(주),데이빗 레이치,SF,"라이언 레이놀즈(웨이드 윌슨 / 데드풀), 프레드 세비지(프레드), 조슈 브롤린(케이블)",[국내] 12세 관람가
베놈,2018.10.3,34100211207.0,"3,888,096","1,308","116,149",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,앤디 서키스,액션,"톰 하디(에디 브록 / 베놈), 미셸 윌리엄스(앤 웨잉)",[국내] 15세 관람가
판도라,2016.12.7,33955398164.0,"4,313,864","1,184","90,758",한국,(주)넥스트엔터테인먼트월드(NEW),박정우,드라마,"김남길(재혁), 김주현(연주), 정진영(평섭)",[국내] 12세 관람가
반도,2020.7.15,33072531280.0,"3,812,250","2,575","199,048",한국,(주)넥스트엔터테인먼트월드(NEW),연상호,액션,"강동원(한정석), 이정현(민정)",[국내] 15세 관람가
암수살인,2018.10.3,32995138548.0,"3,789,321","1,177","126,127",한국,(주)쇼박스,김태균,범죄,"김윤석(김형민), 주지훈(강태오)",[국내] 15세 관람가
매드 맥스: 분노의 도로,2015.5.14,32912842162.0,"3,843,343",799,"98,824","미국,호주",워너브러더스 코리아(주),조지 밀러,액션,"톰 하디(맥스 로켓탄스키), 샤를리즈 테론(임페라토르 퓨리오사), 니콜라스 홀트(눅스)",[국내] 15세 관람가 [해외] R
아이언맨 2,2010.4.29,32635195500.0,"4,425,003",921,"87,665",미국,CJ ENM,존 파브로,SF,"로버트 다우니 주니어(토니 스타크 / 아이언 맨), 기네스 팰트로(페퍼 포츠), 돈 치들(워 머신 /제임스 로드)",[국내] 12세 관람가 [해외] PG-13
타짜-신의 손,2014.9.3,32373120927.0,"4,015,361",890,"80,584",한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",강형철,드라마,"T.O.P(함대길), 신세경(허미나), 곽도원(장동식)",[국내] 청소년 관람불가
분노의 질주: 홉스&쇼,2019.8.14,32241767793.0,"3,657,536","1,311","94,896",미국,유니버설픽쳐스인터내셔널 코리아(유),데이빗 레이치,액션,"드웨인 존슨(루크 홉스), 제이슨 스타뎀(데카드 쇼), 이드리스 엘바(브릭스턴)",[국내] 12세 관람가
연가시,2012.7.5,32175400664.0,"4,515,833",759,"71,928",한국,(주)씨제이이엔엠,박정우,드라마,"김명민(재혁), 문정희(경순), 김동완(재필)",[국내] 15세 관람가
캡틴 아메리카: 윈터 솔져,2014.3.26,31711040385.0,"3,963,251","1,106","110,109",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),조 루소,액션,"크리스 에반스(스티브 로저스/캡틴 아메리카), 스칼릿 조핸슨(나타샤 로마노프/블랙 위도우), 사무엘 L. 잭슨(닉 퓨리)",[국내] 15세 관람가
혹성탈출: 반격의 서막,2014.7.10,31514053095.0,"4,002,560",956,"72,881",미국,이십세기폭스코리아(주),맷 리브스,액션,"앤디 서키스(시저), 게리 올드만(드레퓌스), 제이슨 클락(말콤)",[국내] 12세 관람가 [해외] PG-13
쿵푸팬더3,2016.1.28,31340798156.0,"3,984,812","1,365","97,404",미국,(주)씨제이이엔엠,여인영,애니메이션,"잭 블랙(포 목소리), 안젤리나 졸리(타이그리스 목소리), 더스틴 호프만(시푸 목소리)",[국내] 전체 관람가 [해외] PG
꾼,2017.11.22,31312029795.0,"4,018,035","1,314","117,398",한국,(주)쇼박스,장창원,범죄,"현빈(황지성), 유지태(박희수 검사), 배성우(고석동)",[국내] 15세 관람가
남한산성,2017.10.3,31225083792.0,"3,849,087","1,229","71,101",한국,(주)씨제이이엔엠,황동혁,드라마,"이병헌(최명길), 김윤석(김상헌), 박해일(인조)",[국내] 15세 관람가
