moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
너의 결혼식,2018-08-22,23676244369,2820969,970,98193,etc_distributor,2,2820969,romance,10,2,PG 12,1,8
스물,2015-03-25,23563421686,3044811,926,100161,major_domestic,0,6834886,comedy,0,3,PG 15,0,3
타워,2012-12-25,22996601500,3166425,638,58869,major_domestic,0,3166425,thriller,11,3,X_rated,3,12
퀵,2011-07-20,22960890000,3125069,514,60714,major_domestic,0,3125069,action,2,3,PG 15,0,7
방자전,2010-06-02,22490024000,2985483,495,67562,major_domestic,0,2213728,drama,4,3,X_rated,3,6
극비수사,2015-06-18,22389535897,2860786,894,66211,major_domestic,0,1917958,drama,4,2,PG 15,0,6
표적,2014-04-30,22256769300,2841828,716,72255,major_domestic,0,1662172,action,2,3,PG 15,0,4
고지전,2011-07-20,21968557600,2945137,585,53738,major_domestic,0,6849425,etc,1,3,PG 15,0,7
친구 2,2013-11-14,21795237513,2969900,968,69856,major_domestic,0,1917958,etc,1,3,X_rated,3,11
감기,2013-08-14,21774884000,3117859,806,55046,etc_distributor,2,3117859,drama,4,3,PG 15,0,8
목격자,2018-08-15,21737061097,2524720,1021,71403,major_domestic,0,2524720,thriller,11,3,X_rated,3,8
하모니,2010-01-28,21641750000,3018131,384,77723,major_domestic,0,2368826,drama,4,3,PG 12,1,1
곤지암,2018-03-28,21442194144,2675575,1124,88477,major_domestic,0,2675575,fear,12,3,PG 15,0,3
살인자의 기억법,2017-09-06,21375287492,2658589,1064,88686,major_domestic,0,3723063,crime,5,3,PG 15,0,9
26년,2012-11-29,21111878145,2940475,611,50044,etc_distributor,2,1678389,action,2,3,PG 15,0,11
부당거래,2010-10-28,20996302500,2722996,502,69703,major_domestic,0,7576385,crime,5,3,X_rated,3,10
블랙머니,2019-11-13,20863134010,2478964,1141,77469,etc_distributor,2,2087528,crime,5,2,PG 12,1,11
보안관,2017-05-03,20844488409,2588628,1091,63709,major_domestic,0,2588628,crime,5,3,PG 15,0,5
지금 만나러 갑니다,2018-03-14,20800916128,2602273,1191,97482,major_domestic,0,2602273,romance,10,2,PG 12,1,3
히트맨,2020-01-22,20614278000,2406232,1122,87782,major_domestic,0,2406232,comedy,0,3,PG 15,0,1
아수라,2016-09-28,20576226662,2594028,1278,68040,major_domestic,0,2594028,action,2,3,X_rated,3,9
증인,2019-02-13,20482789331,2534748,1047,89564,major_domestic,0,3154621,drama,4,2,PG 12,1,2
탐정 : 더 비기닝,2015-09-24,20463956973,2625686,764,54995,major_domestic,0,2317636,comedy,0,2,PG 15,0,9
내가 살인범이다,2012-11-08,20392266000,2729798,547,58409,major_domestic,0,1968939,action,2,2,X_rated,3,11
오싹한 연애,2011-12-01,20289813500,2777998,544,54630,major_domestic,0,2777998,romance,10,2,PG 12,1,12
조작된 도시,2017-02-09,20143992587,2515501,1019,62241,major_domestic,0,2515501,action,2,3,PG 15,0,2
사바하,2019-02-20,20007508194,2398519,1174,78096,major_domestic,0,2398519,mystery,9,3,PG 15,0,2
시라노; 연애조작단,2010-09-16,19838369000,2684783,415,77736,major_domestic,0,2137558,romance,10,3,PG 12,1,9
조선명탐정: 흡혈괴마의 비밀,2018-02-08,19822789764,2444136,1249,74953,major_domestic,0,3700803,adventure,8,3,PG 12,1,2
타짜: 원 아이드 잭,2019-09-11,19687029214,2229239,1429,66479,major_domestic,0,2229239,crime,5,3,X_rated,3,9
7광구,2011-08-04,19391653500,2242510,812,47346,major_domestic,0,2242510,sf,7,3,PG 15,0,8
후궁 : 제왕의 첩,2012-06-06,19330302500,2636320,624,69104,major_domestic,0,1520119,romance,10,3,X_rated,3,6
재심,2017-02-15,19266319637,2421197,935,68402,etc_distributor,2,1174004,drama,4,3,PG 15,0,2
위험한 상견례,2011-03-31,19174920500,2595625,524,75068,major_domestic,0,1135495,romance,10,3,PG 15,0,3
신의 한 수: 귀수편,2019-11-07,18463776050,2157437,1246,82178,major_domestic,0,2862144,crime,5,3,PG 15,0,11
화차,2012-03-08,18459428000,2436438,548,62643,etc_distributor,2,2436438,mystery,9,3,PG 15,0,3
블라인드,2011-08-10,18390012500,2367942,404,49358,major_domestic,0,2367942,drama,4,3,PG 15,0,8
박열,2017-06-28,18093639795,2359206,1176,78499,etc_distributor,2,1424759,drama,4,3,PG 12,1,6
이웃사람,2012-08-22,18088462369,2434269,600,56752,major_domestic,0,2434269,thriller,11,3,X_rated,3,8
명당,2018-09-19,17900775524,2087474,1117,58450,etc_distributor,2,1391393,etc,1,3,PG 12,1,9
의뢰인,2011-09-29,17797042500,2393086,522,58414,major_domestic,0,2393086,drama,4,3,PG 15,0,9
가문의 영광4 - 가문의 수난,2011-09-07,17792219500,2368267,537,48432,major_domestic,0,2368267,comedy,0,3,PG 15,0,9
강남 1970,2015-01-21,17718699499,2192276,841,53304,major_domestic,0,1902415,action,2,3,X_rated,3,1
화이: 괴물을 삼킨 아이,2013-10-09,17695412795,2394453,817,59049,major_domestic,0,3842381,action,2,3,X_rated,3,10
악의 연대기,2015-05-14,17361815332,2192525,776,64351,major_domestic,0,2192525,crime,5,3,PG 15,0,5
하녀,2010-05-13,17038639000,2267556,555,59621,etc_distributor,2,2267556,thriller,11,3,X_rated,3,5
협상,2018-09-19,17032133166,1967721,919,57926,major_domestic,0,1967721,crime,5,2,PG 15,0,9
백두산,2019-12-19,16921016530,1962407,1241,74413,major_domestic,0,1174169,drama,4,3,PG 12,1,12
굿바이 싱글,2016-06-29,16912706195,2108273,841,56380,major_domestic,0,2108273,comedy,0,3,PG 15,0,6
나의 사랑 나의 신부,2014-10-08,16636404305,2141155,629,69681,etc_distributor,2,2141155,romance,10,2,PG 15,0,10
내안의 그놈,2019-01-09,16302228567,1902828,1041,61683,etc_distributor,2,1368505,fantasy,3,3,PG 15,0,1
봉이 김선달,2016-07-06,16227052642,2051277,942,51418,major_domestic,0,2051277,comedy,0,3,PG 12,1,7
뷰티 인사이드,2015-08-20,16148479531,2053435,648,52618,major_domestic,0,2053435,romance,10,3,PG 12,1,8
#살아있다,2020-06-24,15968219900,1903992,1882,137073,major_domestic,0,1903992,drama,4,2,PG 15,0,6
마약왕,2018-12-19,15784724552,1813594,1297,41658,major_domestic,0,2977866,crime,5,3,X_rated,3,12
내부자들: 디 오리지널,2015-12-31,15742927260,1924720,838,45697,major_domestic,0,2977866,crime,5,3,X_rated,3,12
변신,2019-08-21,15417922925,1804112,975,63211,etc_distributor,2,1804112,fear,12,2,PG 15,0,8
초능력자,2010-11-10,15374489000,2130606,612,58000,major_domestic,0,2130606,sf,7,3,PG 15,0,11
쩨쩨한 로맨스,2010-12-01,15338827000,2009586,450,46199,major_domestic,0,2317636,romance,10,2,X_rated,3,12
뺑반,2019-01-30,15224305848,1826912,1285,47215,major_domestic,0,1649509,crime,5,3,PG 15,0,1
몽타주,2013-05-16,15002458500,2095592,544,53195,major_domestic,0,2095592,thriller,11,3,PG 15,0,5
오늘의 연애,2015-01-14,14924654487,1891993,709,47237,major_domestic,0,1891993,romance,10,3,PG 15,0,1
담보,2020-09-29,14748867550,1719521,1342,110260,major_domestic,0,2368826,drama,4,3,PG 12,1,9
마당을 나온 암탉,2011-07-28,14668226000,2201273,363,39224,major_domestic,0,2201273,animation,6,3,G_rated,2,7
강철비2: 정상회담,2020-07-29,14661646110,1791533,2137,106658,major_domestic,0,2639183,drama,4,3,PG 15,0,7
노무현입니다,2017-05-25,14556517612,1855149,775,61327,etc_distributor,2,1855149,etc,1,1,PG 12,1,5
남자가 사랑할 때,2014-01-22,14510222300,1979311,531,41123,major_domestic,0,1979311,drama,4,2,PG 15,0,1
용의자,2013-12-24,14408028500,1954586,618,42310,major_domestic,0,1753320,drama,4,3,PG 12,1,12
삼진그룹 영어토익반,2020-10-21,13981414470,1571286,1615,139275,major_domestic,0,955734,drama,4,3,PG 12,1,10
악마를 보았다,2010-08-12,13919416500,1817063,490,42721,major_domestic,0,4658741,crime,5,2,X_rated,3,8
해결사,2010-09-09,13844624000,1843404,525,59325,major_domestic,0,1843404,action,2,2,PG 15,0,9
걸캅스,2019-05-09,13812802134,1629528,973,63163,major_domestic,0,1629528,comedy,0,2,PG 15,0,5
연애의 온도,2013-03-21,13798864446,1865195,567,57847,major_domestic,0,1240838,romance,10,2,X_rated,3,3
도굴,2020-11-04,13764680410,1523514,1635,133284,major_domestic,0,1523514,crime,5,3,PG 12,1,11
글러브,2011-01-20,13756104000,1887731,605,44725,major_domestic,0,1989220,drama,4,3,G_rated,2,1
아이들...,2011-02-17,13579712500,1867849,504,41515,major_domestic,0,1867849,crime,5,3,PG 15,0,2
쎄시봉,2015-02-05,13571515911,1715370,829,51744,major_domestic,0,2137558,romance,10,3,PG 15,0,2
나의 PS 파트너,2012-12-06,13548606616,1786831,552,37625,major_domestic,0,1363183,romance,10,2,X_rated,3,12
제보자,2014-10-02,13515762802,1755181,676,58358,etc_distributor,2,1294037,drama,4,3,PG 12,1,10
코리아,2012-05-03,13448848500,1872681,537,49679,major_domestic,0,1753842,drama,4,2,PG 12,1,5
창궐,2018-10-25,13275772490,1599290,1351,60687,major_domestic,0,4289071,action,2,2,PG 15,0,10
성난황소,2018-11-22,13236490737,1593386,1010,48932,major_domestic,0,1593386,crime,5,2,PG 15,0,11
러브픽션,2012-02-29,13200412500,1726202,617,44130,major_domestic,0,1726202,romance,10,2,PG 15,0,2
정직한 후보,2020-02-12,12854297030,1538038,1187,89425,major_domestic,0,1309893,comedy,0,3,PG 12,1,2
도어락,2018-12-05,12792097886,1559616,954,53732,etc_distributor,2,1559616,thriller,11,3,PG 15,0,12
전설의 주먹,2013-04-10,12777314500,1744585,724,57593,major_domestic,0,1989220,action,2,3,X_rated,3,4
평양성,2011-01-27,12684530500,1717566,483,41860,major_domestic,0,1424759,comedy,0,3,PG 12,1,1
임금님의 사건수첩,2017-04-26,12651193723,1635003,1054,53005,major_domestic,0,1753842,comedy,0,2,PG 12,1,4
집으로 가는 길,2013-12-11,12373339745,1763231,740,39811,major_domestic,0,1763231,drama,4,2,PG 15,0,12
공범,2013-10-24,12333110882,1766285,611,51425,major_domestic,0,1766285,etc,1,3,PG 15,0,10
더 폰,2015-10-22,12309164568,1593694,794,53599,major_domestic,0,1593694,action,2,3,PG 15,0,10
두근두근 내 인생,2014-09-03,12291081634,1624601,629,40158,major_domestic,0,1624601,drama,4,3,PG 12,1,9
공모자들,2012-08-29,12240964500,1646142,496,44959,etc_distributor,2,959726,crime,5,3,X_rated,3,8
대호,2015-12-16,12104808332,1584168,892,39599,major_domestic,0,1584168,drama,4,3,X_rated,3,12
나의 특별한 형제,2019-05-01,12081618074,1478156,936,49927,major_domestic,0,1225293,drama,4,3,PG 12,1,5
그대를 사랑합니다,2011-02-17,12041827000,1645505,292,57869,major_domestic,0,1645505,drama,4,3,PG 15,0,2
차이나타운,2015-04-29,11990370378,1472106,551,45137,etc_distributor,2,1649509,crime,5,3,X_rated,3,4
리틀 포레스트,2018-02-28,11929202185,1506269,884,68414,etc_distributor,2,1506269,drama,4,3,PG 12,1,2
파파로티,2013-03-14,11825934000,1716429,552,53601,major_domestic,0,1716429,drama,4,3,PG 15,0,3
부라더,2017-11-02,11783109998,1492903,889,54975,etc_distributor,2,1492903,drama,4,2,X_rated,3,11
하울링,2012-02-16,11765293500,1612554,550,44753,major_domestic,0,1902415,crime,5,2,PG 15,0,2
우아한 거짓말,2014-03-13,11728460300,1619188,573,57492,etc_distributor,2,3154621,drama,4,3,PG 12,1,3
해무(海霧),2014-08-13,11706782519,1475507,584,33490,major_domestic,0,1475507,drama,4,3,X_rated,3,8
피끓는 청춘,2014-01-22,11688382888,1676040,679,36082,major_domestic,0,1676040,comedy,0,3,PG 15,0,1
무적자,2010-09-16,11629780500,1546132,412,46186,major_domestic,0,1343677,action,2,3,PG 15,0,9
황해,2010-12-22,11524115000,1497242,618,23295,major_domestic,0,4188575,crime,5,3,X_rated,3,12
탐정 홍길동: 사라진 마을,2016-05-04,11516170845,1430885,764,41076,major_domestic,0,2833113,drama,4,2,PG 15,0,5
골든슬럼버,2018-02-14,11412768798,1387508,833,42991,major_domestic,0,1387508,crime,5,3,PG 15,0,2
인간중독,2014-05-14,11284912400,1441973,682,44057,major_domestic,0,2213728,drama,4,3,X_rated,3,5
용의자X,2012-10-18,11241013000,1552055,553,42989,major_domestic,0,1753320,drama,4,3,PG 12,1,10
오케이 마담,2020-08-12,10981600110,1228968,1288,82969,etc_distributor,2,1146205,comedy,0,3,PG 15,0,8
클로젯,2020-02-05,10971962280,1270835,1197,71453,major_domestic,0,1270835,mystery,9,3,PG 15,0,2
브이아이피,2017-08-23,10956621835,1373316,996,44650,major_abroad,1,3081633,crime,5,3,X_rated,3,8
사라진 밤,2018-03-07,10697981316,1315726,925,60087,etc_distributor,2,1315726,thriller,11,3,PG 15,0,3
기억의 밤,2017-11-29,10646654660,1386611,759,52847,etc_distributor,2,1386611,mystery,9,2,PG 15,0,11
특별시민,2017-04-26,10494768945,1362634,1154,46377,major_domestic,0,896785,drama,4,3,PG 15,0,4
궁합,2018-02-28,10478875438,1340117,966,52427,major_domestic,0,1340117,comedy,0,2,PG 12,1,2
장산범,2017-08-17,10341783083,1306438,711,34768,major_domestic,0,1306438,mystery,9,2,PG 15,0,8
퍼펙트맨,2019-10-02,10311352770,1240022,894,50055,major_domestic,0,1240022,comedy,0,2,PG 15,0,10
스윙키즈,2018-12-19,10308565602,1258811,984,32237,major_domestic,0,2637086,drama,4,3,PG 12,1,12
구르믈 버서난 달처럼,2010-04-28,10241716500,1383867,506,48314,etc_distributor,2,1424759,drama,4,3,PG 15,0,4
유열의 음악앨범,2019-08-28,10233455040,1245532,1078,59626,etc_distributor,2,1295945,romance,10,2,PG 12,1,8
해치지않아,2020-01-15,10154099090,1209689,1216,53441,etc_distributor,2,903270,comedy,0,3,PG 12,1,1
런닝맨,2013-04-04,10060239500,1422844,567,45995,etc_distributor,2,1422844,animation,6,3,G_rated,2,4
"힘을 내요, 미스터 리",2019-09-11,9930518906,1181960,990,41831,major_domestic,0,4078625,comedy,0,3,PG 12,1,9
특별수사: 사형수의 편지,2016-06-16,9929947065,1241899,691,39372,major_domestic,0,1241899,crime,5,3,PG 15,0,6
은교,2012-04-25,9918274444,1346359,521,41683,major_domestic,0,1295945,romance,10,3,X_rated,3,4
해빙,2017-03-01,9905406822,1204600,915,46227,major_domestic,0,1204600,thriller,11,3,PG 15,0,3
생일,2019-04-03,9885147340,1197565,878,71797,major_domestic,0,1197565,drama,4,2,G_rated,2,4
헬로우 고스트,2010-12-22,9796273500,1356230,472,22865,major_domestic,0,1262896,comedy,0,3,PG 12,1,12
바람 바람 바람,2018-04-05,9784385375,1194229,985,57939,major_domestic,0,6834886,comedy,0,3,X_rated,3,4
차형사,2012-05-30,9752555296,1346754,433,39152,major_domestic,0,1346754,comedy,0,3,PG 15,0,5
악녀,2017-06-08,9739662144,1208081,685,46070,major_domestic,0,1968939,action,2,3,X_rated,3,6
시간이탈자,2016-04-13,9731838195,1202384,733,55075,major_domestic,0,1202384,thriller,11,3,PG 15,0,4
점박이:한반도의 공룡3D,2012-01-26,9681445500,1050852,457,22475,major_domestic,0,713082,animation,6,3,G_rated,2,1
챔피언,2018-05-01,9471138230,1128774,874,47320,major_abroad,1,1128774,drama,4,1,PG 15,0,5
간기남,2012-04-11,9356404500,1246185,396,38155,major_domestic,0,1182231,thriller,11,3,X_rated,3,4
미스터 고,2013-07-17,9337976000,1328888,840,38263,major_domestic,0,6491963,drama,4,2,PG 12,1,7
간첩,2012-09-20,9316548500,1310895,576,41726,major_domestic,0,2977866,drama,4,3,PG 15,0,9
항거:유관순 이야기,2019-02-27,9291455101,1157949,1094,46159,major_domestic,0,1157949,drama,4,3,PG 12,1,2
롱 리브 더 킹: 목포 영웅,2019-06-19,9228798910,1094404,965,38839,etc_distributor,2,1094404,action,2,3,PG 15,0,6
심야의 F.M.,2010-10-14,9179170500,1208306,423,50423,major_domestic,0,1208306,thriller,11,4,X_rated,3,10
찌라시: 위험한 소문,2014-02-20,9111748087,1221427,560,37426,major_domestic,0,2450084,drama,4,3,PG 15,0,2
"당신, 거기 있어줄래요",2016-12-14,8999085248,1124815,767,39181,major_domestic,0,1168829,fantasy,3,3,PG 12,1,12
장사리 : 잊혀진 영웅들,2019-09-25,8997921050,1140876,1090,47821,major_abroad,1,1917958,etc,1,3,PG 12,1,9
빅매치,2014-11-27,8952096578,1177438,627,38527,major_domestic,0,1177438,action,2,3,PG 15,0,11
간신,2015-05-21,8946842910,1110246,697,40580,major_domestic,0,1590719,drama,4,3,X_rated,3,5
슬로우 비디오,2014-10-02,8913092219,1169562,618,40665,etc_distributor,2,1262896,drama,4,2,PG 12,1,10
동주,2016-02-17,8889077089,1172641,543,39958,etc_distributor,2,1424759,drama,4,3,PG 12,1,2
미씽: 사라진 여자,2016-11-30,8881616256,1153109,790,40617,etc_distributor,2,2152990,mystery,9,2,PG 15,0,11
"날, 보러와요",2016-04-07,8836144063,1063442,683,49237,etc_distributor,2,1146205,mystery,9,3,X_rated,3,4
돈의 맛,2012-05-17,8780178611,1166018,643,36922,major_domestic,0,1166018,drama,4,3,X_rated,3,5
장수상회,2015-04-09,8737364643,1165780,688,52928,major_domestic,0,861204,drama,4,3,PG 12,1,4
성난 변호사,2015-10-08,8723650039,1128288,607,36990,major_domestic,0,925955,crime,5,3,PG 15,0,10
천문: 하늘에 묻는다,2019-12-26,8695248070,1035024,929,43246,major_domestic,0,3317126,etc,1,2,PG 12,1,12
